time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
3.6,4.61507088,0,0.169724
3.605,4.65094819,0,0.168365
3.61,4.65812375,0,0.166855
3.615,4.66171104,0,0.16761
3.62,4.66171104,0,0.166704
3.625,4.66171104,0,0.165647
3.63,4.66171104,0,0.166704
3.635,4.60789532,0,0.165949
3.64,4.6688866,0,0.165798
3.645,4.66529882,0,0.165949
3.65,4.66529882,0,0.1661
3.655,4.70117613,0,0.166251
3.66,4.66529882,0,0.165647
3.665,4.61865866,0,0.163986
3.67,4.63659707,0,0.164741
3.675,4.66529882,0,0.163835
3.68,4.6688866,0,0.162627
3.685,4.64736041,0,0.163986
3.69,4.67606216,0,0.164137
3.695,4.65812375,0,0.164892
3.7,4.60430754,0,0.165043
3.705,4.67247438,0,0.164741
3.71,4.6688866,0,0.164137
3.715,4.65812375,0,0.164741
3.72,4.67964994,0,0.164741
3.725,4.64377263,0,0.162023
3.73,4.64018485,0,0.164439
3.735,4.65812375,0,0.163231
3.74,4.67247438,0,0.163533
3.745,4.65094819,0,0.163382
3.75,4.65094819,0,0.162778
3.755,4.69041279,0,0.163382
3.76,4.6688866,0,0.163684
3.765,4.60072025,0,0.162929
3.77,4.66171104,0,0.163684
3.775,4.66529882,0,0.162627
3.78,4.63659707,0,0.161419
3.785,4.6688866,0,0.162325
3.79,4.64736041,0,0.162325
3.795,4.61507088,0,0.16308
3.8,4.65812375,0,0.162476
3.805,4.64377263,0,0.161872
3.81,4.65094819,0,0.163684
3.815,4.67606216,0,0.161721
3.82,4.65094819,0,0.162929
3.825,4.64018485,0,0.163231
3.83,4.66529882,0,0.163835
3.835,4.66529882,0,0.163684
3.84,4.6688866,0,0.163835
3.845,4.69041279,0,0.163533
3.85,4.64018485,0,0.163684
3.855,4.64736041,0,0.16308
3.86,4.65094819,0,0.163533
3.865,4.67606216,0,0.164439
3.87,4.66171104,0,0.164741
3.875,4.70476391,0,0.163835
3.88,4.65453597,0,0.164892
3.885,4.62224644,0,0.163684
3.89,4.61865866,0,0.16308
3.895,4.68323772,0,0.163684
3.9,4.65094819,0,0.163684
3.905,4.65812375,0,0.163986
3.91,4.6868255,0,0.163835
3.915,4.64736041,0,0.164439
3.92,4.62224644,0,0.165345
3.925,4.65453597,0,0.162929
3.93,4.66171104,0,0.163231
3.935,4.65094819,0,0.162325
3.94,4.67606216,0,0.162778
3.945,4.65094819,0,0.162778
3.95,4.629422,0,0.162627
3.955,4.68323772,0,0.16308
3.96,4.66171104,0,0.163684
3.965,4.65094819,0,0.162174
3.97,4.69758835,0,0.165043
3.975,4.65812375,0,0.162778
3.98,4.63659707,0,0.163684
3.985,4.64736041,0,0.162325
3.99,4.67606216,0,0.163231
3.995,4.66171104,0,0.162929
4,4.67247438,0,0.162929
4.005,4.67247438,0,0.162778
4.01,4.64018485,0,0.163382
4.015,4.65094819,0,0.162023
4.02,4.67606216,0,0.162174
4.025,4.62583422,0,0.161721
4.03,4.66171104,0,0.16157
4.035,4.66171104,0,0.161872
4.04,4.64018485,0,0.161721
