time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
3.26,4.67606216,0,0.163835
3.265,4.63659707,0,0.164892
3.27,4.62224644,0,0.163835
3.275,4.66171104,0,0.164439
3.28,4.66529882,0,0.163684
3.285,4.65453597,0,0.162929
3.29,4.6868255,0,0.16308
3.295,4.65812375,0,0.162325
3.3,4.64736041,0,0.163986
3.305,4.65453597,0,0.162627
3.31,4.68323772,0,0.163382
3.315,4.65094819,0,0.162627
3.32,4.67247438,0,0.163835
3.325,4.67247438,0,0.16459
3.33,4.60072025,0,0.163533
3.335,4.67247438,0,0.16459
3.34,4.65812375,0,0.163986
3.345,4.66171104,0,0.165043
3.35,4.67964994,0,0.163533
3.355,4.66171104,0,0.164439
3.36,4.65094819,0,0.164288
3.365,4.6114831,0,0.162627
3.37,4.67606216,0,0.16459
3.375,4.65453597,0,0.163231
3.38,4.68323772,0,0.162929
3.385,4.6688866,0,0.163835
3.39,4.67964994,0,0.163684
3.395,4.64377263,0,0.16459
3.4,4.629422,0,0.161872
3.405,4.67606216,0,0.163835
3.41,4.63659707,0,0.164741
3.415,4.66171104,0,0.16308
3.42,4.69041279,0,0.163986
3.425,4.62224644,0,0.161721
3.43,4.63300929,0,0.162627
3.435,4.69041279,0,0.162627
3.44,4.6688866,0,0.162929
3.445,4.65453597,0,0.162778
3.45,4.68323772,0,0.162476
3.455,4.66171104,0,0.162325
3.46,4.61507088,0,0.162325
3.465,4.69758835,0,0.16308
3.47,4.65094819,0,0.16157
3.475,4.66171104,0,0.161872
3.48,4.70835169,0,0.163835
3.485,4.67606216,0,0.160664
3.49,4.63659707,0,0.162174
3.495,4.66529882,0,0.162627
3.5,4.66171104,0,0.162174
3.505,4.6688866,0,0.162023
3.51,4.66529882,0,0.161721
3.515,4.64377263,0,0.160513
3.52,4.66171104,0,0.162627
3.525,4.61507088,0,0.161721
3.53,4.66171104,0,0.162174
3.535,4.66529882,0,0.161268
3.54,4.64377263,0,0.161419
3.545,4.65812375,0,0.161419
3.55,4.67964994,0,0.162023
3.555,4.61507088,0,0.161268
3.56,4.64018485,0,0.163533
3.565,4.6868255,0,0.165194
3.57,4.66171104,0,0.162476
3.575,4.64018485,0,0.162778
3.58,4.70476391,0,0.164439
3.585,4.65094819,0,0.161872
3.59,4.64377263,0,0.163835
3.595,4.64018485,0,0.162023
3.6,4.66171104,0,0.162627
3.605,4.66171104,0,0.163231
3.61,4.65094819,0,0.162325
3.615,4.69041279,0,0.163533
3.62,4.64018485,0,0.162929
